tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
186.00;47442733_0;0.20;8.09;63.00;0.00;47442743#3_0;5.10;0.00;tripinfo_7;123.00;7;0;789.31;0.95;0.00;79.69;DEFAULT_VEHTYPE;;2;53.00
188.00;47442733_0;0.20;10.19;66.00;3.00;47442743#3_0;5.10;0.00;tripinfo_7.1;122.00;7.1;0;789.31;1.13;0.00;85.23;DEFAULT_VEHTYPE;;2;49.00
190.00;47442733_0;0.20;8.47;69.00;6.00;47442743#3_0;5.10;0.00;tripinfo_7.2;121.00;7.2;0;789.31;0.93;0.00;77.01;DEFAULT_VEHTYPE;;2;49.00
192.00;47442733_0;0.20;9.88;72.00;9.00;47442743#3_0;5.10;0.00;tripinfo_7.3;120.00;7.3;0;789.31;1.18;0.00;84.71;DEFAULT_VEHTYPE;;2;49.00
193.00;-170356124_0;590.44;14.44;84.00;3.00;491337027#0_0;5.10;0.00;tripinfo_9.1;109.00;9.1;0;1710.09;1.10;0.00;20.20;DEFAULT_VEHTYPE;;0;0.00
194.00;47442733_0;0.20;10.58;75.00;12.00;47442743#3_0;5.10;0.00;tripinfo_7.4;119.00;7.4;0;789.31;1.15;0.00;82.55;DEFAULT_VEHTYPE;;2;48.00
215.00;-170356124_0;590.44;11.70;87.00;6.00;491337027#0_0;5.10;0.00;tripinfo_9.2;128.00;9.2;0;1710.09;0.90;0.00;18.46;DEFAULT_VEHTYPE;;0;0.00
262.00;-29182100#0_1;0.20;7.60;42.00;6.00;415670710#3_0;0.20;0.00;tripinfo_4.2;220.00;4.2;0;1485.05;0.99;0.00;149.19;DEFAULT_VEHTYPE;;2;122.00
264.00;-29182100#0_1;0.20;8.03;45.00;9.00;415670710#3_0;0.20;0.00;tripinfo_4.3;219.00;4.3;0;1485.05;0.93;0.00;142.70;DEFAULT_VEHTYPE;;3;115.00
273.00;-170356124_0;590.44;13.41;90.00;9.00;491337027#0_0;5.10;0.00;tripinfo_9.3;183.00;9.3;0;1710.09;1.03;0.00;86.64;DEFAULT_VEHTYPE;;2;57.00
277.00;-170356124_0;590.44;12.30;93.00;12.00;491337027#0_0;5.10;0.00;tripinfo_9.4;184.00;9.4;0;1710.09;0.96;0.00;80.86;DEFAULT_VEHTYPE;;2;51.00
352.00;-29182100#0_1;0.20;7.30;49.00;13.00;415670710#3_0;0.20;0.00;tripinfo_4.4;303.00;4.4;0;1485.05;0.88;0.00;222.18;DEFAULT_VEHTYPE;;4;195.00
375.00;197551632#1_0;0.20;3.43;54.00;0.00;-197551632#2_0;5.10;0.00;tripinfo_6;321.00;6;0;123.87;0.97;0.00;311.31;DEFAULT_VEHTYPE;;1;299.00
379.00;197551632#1_0;0.20;2.87;57.00;3.00;-197551632#2_0;5.10;0.00;tripinfo_6.1;322.00;6.1;0;123.87;0.89;0.00;310.56;DEFAULT_VEHTYPE;;1;300.00
384.00;415697113#0_0;0.20;4.00;54.00;9.00;197551632#0_0;5.10;0.00;tripinfo_5.3;330.00;5.3;0;311.25;1.02;0.00;312.49;DEFAULT_VEHTYPE;;1;301.00
384.00;197551632#1_0;0.20;2.70;60.00;6.00;-197551632#2_0;5.10;0.00;tripinfo_6.2;324.00;6.2;0;123.87;0.83;0.00;312.09;DEFAULT_VEHTYPE;;1;298.00
387.00;415697113#0_0;0.20;4.40;57.00;12.00;197551632#0_0;5.10;0.00;tripinfo_5.4;330.00;5.4;0;291.76;1.01;0.00;311.10;DEFAULT_VEHTYPE;;1;301.00
389.00;197551632#1_0;0.20;3.17;63.00;9.00;-197551632#2_0;5.10;0.00;tripinfo_6.3;326.00;6.3;0;123.87;0.87;0.00;314.39;DEFAULT_VEHTYPE;;1;297.00
394.00;197551632#1_0;0.20;2.54;66.00;12.00;-197551632#2_0;5.10;0.00;tripinfo_6.4;328.00;6.4;0;123.87;0.92;0.00;316.81;DEFAULT_VEHTYPE;;2;297.00
425.00;47442735#4_0;63.04;22.17;72.00;0.00;197551632#0_0;5.10;0.00;tripinfo_8;353.00;8;0;926.68;1.01;0.00;303.98;DEFAULT_VEHTYPE;;1;288.00
426.00;47442735#4_0;63.04;23.43;75.00;3.00;197551632#0_0;5.10;0.00;tripinfo_8.1;351.00;8.1;0;926.68;1.17;0.00;308.64;DEFAULT_VEHTYPE;;1;285.00
431.00;47442735#4_0;63.04;21.89;78.00;6.00;197551632#0_0;5.10;0.00;tripinfo_8.2;353.00;8.2;0;926.68;0.99;0.00;303.53;DEFAULT_VEHTYPE;;1;284.00
434.00;47442735#4_0;63.04;21.60;81.00;9.00;197551632#0_0;5.10;0.00;tripinfo_8.3;353.00;8.3;0;926.68;1.02;0.00;303.86;DEFAULT_VEHTYPE;;1;282.00
438.00;47442735#4_0;63.04;20.69;84.00;12.00;197551632#0_0;5.10;0.00;tripinfo_8.4;354.00;8.4;0;926.68;0.97;0.00;303.65;DEFAULT_VEHTYPE;;1;281.00
